accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.7961751818656921,0.8407805562019348,0.421631783246994,0.8750011920928955,0.8319710493087769,0.4715345799922943
0.7959290742874146,0.8413251042366028,0.4208637475967407,0.8738555908203125,0.8293380737304688,0.47692665457725525
0.7967134714126587,0.8442886471748352,0.4129064977169037,0.8727319240570068,0.82753986120224,0.4779111444950104
0.7987694144248962,0.8444105982780457,0.4115222692489624,0.875612199306488,0.8302903771400452,0.4696657955646515
0.7985408902168274,0.8431764841079712,0.41411396861076355,0.8774383664131165,0.8300412893295288,0.4729093909263611
0.7984537482261658,0.8438113927841187,0.4133055508136749,0.8740960955619812,0.82807856798172,0.4800536334514618
0.7971318364143372,0.8415497541427612,0.41696903109550476,0.8774114847183228,0.8293036222457886,0.4768705666065216
0.7934633493423462,0.8394162058830261,0.4274795353412628,0.8778692483901978,0.8274354934692383,0.4683760702610016
0.7761995792388916,0.8127281069755554,0.49590447545051575,0.8737267851829529,0.8263651132583618,0.481465607881546
0.7933470606803894,0.8353196978569031,0.4342091977596283,0.8741125464439392,0.8276482820510864,0.47258496284484863
0.7979299426078796,0.8420963287353516,0.4165530204772949,0.8729656934738159,0.8290582299232483,0.47515013813972473
0.7976068258285522,0.8453329205513,0.41101062297821045,0.8766992092132568,0.8303695321083069,0.4748138189315796
0.8004342317581177,0.8458936810493469,0.4075721800327301,0.8746490478515625,0.8315293788909912,0.4745296835899353
0.7989420294761658,0.8456946611404419,0.4094279706478119,0.8702966570854187,0.8282475471496582,0.4847695529460907
0.7994856238365173,0.8460536003112793,0.40715649724006653,0.8737231492996216,0.8286479711532593,0.48397117853164673
0.7989876866340637,0.8458541631698608,0.4090679883956909,0.8761236667633057,0.831468939781189,0.4773922264575958
0.799344003200531,0.8444622159004211,0.4116898775100708,0.8718737959861755,0.8232103586196899,0.4813672602176666
0.7985929250717163,0.844144344329834,0.412683367729187,0.8747784495353699,0.8302726745605469,0.4771438539028168
0.798440158367157,0.8444151878356934,0.4117719531059265,0.8700011968612671,0.8263760209083557,0.48583686351776123
0.8001090288162231,0.8453362584114075,0.40744614601135254,0.8763324022293091,0.831965982913971,0.47281086444854736
