accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.771000147,0.800520301,0.514368892,0.860931396,0.81084156,0.501871526
0.772545874,0.80505389,0.506393254,0.859288335,0.810550272,0.504352808
0.770406961,0.802374482,0.512647271,0.863186061,0.811594367,0.496268451
0.771728635,0.804171562,0.508924842,0.862763643,0.812410593,0.495551139
0.771381497,0.803213298,0.50997895,0.862419426,0.808521509,0.501185
0.774410009,0.806168854,0.502042234,0.864387214,0.813913882,0.494394898
0.773480117,0.806132913,0.503582597,0.867039204,0.812260807,0.497928083
0.773043931,0.80469048,0.506103098,0.863956273,0.810761809,0.49409011
0.772971809,0.806310833,0.503461838,0.861563742,0.809629321,0.50036329
0.772286117,0.807909667,0.501893997,0.866392195,0.812032402,0.489111334
0.774686158,0.807378888,0.500005007,0.866444111,0.811570168,0.490846038
0.775003195,0.806912541,0.499974012,0.866717517,0.811811864,0.488765001
0.775458515,0.808375537,0.497700691,0.866340339,0.811086893,0.491784096
0.774591088,0.807587743,0.498505801,0.865068376,0.815884769,0.491906166
0.772513568,0.807215989,0.503112495,0.864428699,0.810323715,0.492192507
0.753972054,0.781277657,0.567355454,0.862214983,0.803204775,0.499298692
0.769333124,0.799138725,0.519948542,0.860181868,0.808636904,0.498140454
0.773859739,0.805242062,0.503709793,0.864216924,0.813375235,0.492417574
0.773019791,0.808596313,0.499540538,0.86131227,0.812229753,0.496721774
0.776434064,0.808525264,0.495522201,0.865973532,0.810994864,0.491586238
0.775601327,0.810507298,0.493904769,0.863665164,0.810767353,0.495537788
0.776663721,0.811638713,0.491051525,0.864577651,0.811543107,0.494127959
0.776563585,0.810995698,0.491604686,0.864974976,0.814254344,0.490539551
0.778037012,0.811332226,0.489766449,0.867047727,0.81135124,0.488313973
0.777303815,0.811629474,0.491032422,0.865775168,0.814209819,0.48903802
0.777970314,0.812330365,0.486855119,0.867004395,0.812892258,0.487737745
0.77868408,0.812121391,0.487659127,0.863680422,0.814482808,0.494975269
0.777402222,0.81257391,0.488637686,0.863092661,0.812921643,0.493538618
0.777894676,0.810741603,0.489907354,0.866580188,0.814647794,0.490733802
0.778891981,0.813210845,0.485566795,0.86562866,0.813103735,0.489883244
0.777736425,0.813519776,0.486865014,0.859959722,0.808032632,0.503250301
0.778794289,0.813907325,0.484495372,0.863899529,0.814645529,0.491730571
